Company,NSE Symbol,ISIN,Sector,Sub-Industry
Vedanta Limited,VEDL,INE205A01025,Commodities,Diversified Metals
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,INE121A01024,Financial Services,Non Banking Financial Company (NBFC)
Bharat Petroleum Corporation Limited,BPCL,INE029A01011,Energy,Refineries & Marketing
Siemens Energy India Limited,ENRIN,INE1NPP01017,Industrials,Heavy Electrical Equipment
Indian Railway Finance Corporation Limited,IRFC,INE053F01010,Financial Services,Financial Institution
Britannia Industries Limited,BRITANNIA,INE216A01030,Fast Moving Consumer Goods,Packaged Foods
Tata Capital Limited,TATACAP,INE976I01016,Financial Services,Non Banking Financial Company (NBFC)
GE Vernova T&D India Limited,GVT&D,INE200A01026,Industrials,Heavy Electrical Equipment
JINDAL STEEL LIMITED,JINDALSTEL,INE749A01030,Commodities,Iron & Steel
Union Bank of India,CUB,INE491A01021,Financial Services,Public Sector Bank
LTM Limited,LTM,INE214T01019,Information Technology,Computers - Software & Consulting
Billionbrains Garage Ventures Limited,GROWW,INE0HOQ01053,Financial Services,Stockbroking & Allied
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,INE192A01025,Fast Moving Consumer Goods,Tea & Coffee
Apollo Hospitals Enterprise Limited,APOLLOHOSP,INE437A01024,Healthcare,Hospital
HDFC Asset Management Company Limited,HDFCAMC,INE127D01025,Financial Services,Asset Management Company
Punjab National Bank,PNB,INE160A01022,Financial Services,Public Sector Bank
Bajaj Holdings & Investment Limited,BAJAJHLDNG,INE118A01012,Financial Services,Holding Company
Canara Bank,CANBK,INE476A01022,Financial Services,Public Sector Bank
Indus Towers Limited,INDUSTOWER,INE121J01017,Telecommunication,Telecom - Infrastructure
Cipla Limited,CIPLA,INE059A01026,Healthcare,Pharmaceuticals
Dr. Reddy's Laboratories Limited,DRREDDY,INE089A01031,Healthcare,Pharmaceuticals
Indian Bank,BANKINDIA,INE084A01016,Financial Services,Public Sector Bank
Ambuja Cements Limited,AMBUJACEM,INE079A01024,Commodities,Cement & Cement Products
Marico Limited,MARICO,INE196A01026,Fast Moving Consumer Goods,Edible Oil
Max Healthcare Institute Limited,MAXHEALTH,INE027H01010,Healthcare,Hospital
Mankind Pharma Limited,MANKIND,INE634S01028,Healthcare,Pharmaceuticals
LG Electronics India Limited,LGEINDIA,INE324D01010,Consumer Discretionary,Household Appliances
Godrej Consumer Products Limited,GODREJCP,INE102D01028,Fast Moving Consumer Goods,Personal Care
Zydus Lifesciences Limited,ZYDUSLIFE,INE010B01027,Healthcare,Pharmaceuticals
Lupin Limited,LUPIN,INE326A01037,Healthcare,Pharmaceuticals
Bosch Limited,BOSCHLTD,INE323A01026,Consumer Discretionary,Auto Components & Equipments
GAIL (India) Limited,GAIL,INE129A01019,Energy,Gas Transmission/Marketing
GMR AIRPORTS LIMITED,GMRAIRPORT,INE776C01039,Services,Airport & Airport services
Mazagon Dock Shipbuilders Limited,MAZDOCK,INE249Z01020,Industrials,Ship Building & Allied Services
Hero MotoCorp Limited,HEROMOTOCO,INE158A01026,Consumer Discretionary,2/3 Wheelers
JSW Energy Limited,JSWENERGY,INE121E01018,Utilities,Power Generation
The Indian Hotels Company Limited,SAJHOTELS,INE00MT01022,Consumer Discretionary,Hotels & Resorts
United Spirits Limited,UNITDSPR,INE854D01024,Fast Moving Consumer Goods,Breweries & Distilleries
Aditya Birla Capital Limited,CIFL,INE345H01024,Financial Services,Investment Company
Bharat Forge Limited,BHARATFORG,INE465A01025,Consumer Discretionary,Auto Components & Equipments
Lloyds Metals And Energy Limited,IMFA,INE919H01018,Commodities,Industrial Minerals
Ashok Leyland Limited,ASHOKLEY,INE208A01029,Industrials,Commercial Vehicles
Meesho Limited,MEESHO,INE0VDM01015,Consumer Discretionary,E-Retail/ E-Commerce
SHREE CEMENT LIMITED,SHREECEM,INE070A01015,Commodities,Cement & Cement Products
NTPC Green Energy Limited,NTPCGREEN,INE0ONG01011,Utilities,Power Generation
ICICI Lombard General Insurance Company Limited,ICICIGI,INE765G01017,Financial Services,General Insurance
Lodha Developers Limited,LODHA,INE670K01029,Consumer Discretionary,Residential Commercial Projects
Aurobindo Pharma Limited,AUROPHARMA,INE406A01037,Healthcare,Pharmaceuticals
REC Limited,RECLTD,INE020B01018,Financial Services,Financial Institution
Waaree Energies Limited,WAAREEENER,INE377N01017,Industrials,Other Electrical Equipment
PB Fintech Limited,POLICYBZR,INE417T01026,Financial Services,Financial Technology (Fintech)
Hindustan Petroleum Corporation Limited,HINDPETRO,INE094A01015,Energy,Refineries & Marketing
Oil India Limited,OIL,INE274J01014,Energy,Oil Exploration & Production
NHPC Limited,NHPC,INE848E01016,Utilities,Power Generation
Persistent Systems Limited,PERSISTENT,INE262H01021,Information Technology,Computers - Software & Consulting
Bharti Hexacom Limited,BHARTIHEXA,INE343G01021,Telecommunication,Telecom - Cellular & Fixed line services
Dabur India Limited,DABUR,INE016A01026,Fast Moving Consumer Goods,Personal Care
IDBI Bank Limited,IDBI,INE008A01015,Financial Services,Private Sector Bank
FSN E-Commerce Ventures Limited,NYKAA,INE388Y01029,Consumer Discretionary,E-Retail/ E-Commerce
NMDC Limited,NMDC,INE584A01023,Commodities,Industrial Minerals
SRF Limited,SRF,INE647A01010,Commodities,Specialty Chemicals
Torrent Power Limited,TORNTPOWER,INE813H01021,Utilities,Integrated Power Utilities
Havells India Limited,HAVELLS,INE176B01034,Consumer Discretionary,Consumer Electronics
National Aluminium Company Limited,NATIONALUM,INE139A01034,Commodities,Aluminium
ICICI Prudential Life Insurance Company Limited,LICI,INE0J1Y01017,Financial Services,Life Insurance
One 97 Communications Limited,PAYTM,INE982J01020,Financial Services,Financial Technology (Fintech)
Suzlon Energy Limited,SUZLON,INE040H01021,Industrials,Heavy Electrical Equipment
Laurus Labs Limited,LAURUSLABS,INE947Q01028,Healthcare,Pharmaceuticals
AU Small Finance Bank Limited,AUBANK,INE949L01017,Financial Services,Other Bank
Adani Total Gas Limited,ATGL,INE399L01023,Energy,LPG/CNG/PNG/LNG Supplier
The Federal Bank  Limited,FEDERALBNK,INE171A01029,Financial Services,Private Sector Bank
Swiggy Limited,SWIGGY,INE00H001014,Consumer Discretionary,E-Retail/ E-Commerce
IndusInd Bank Limited,INDUSINDBK,INE095A01012,Financial Services,Private Sector Bank
Biocon Limited,BIOCON,INE376G01013,Healthcare,Pharmaceuticals
Nippon Life India Asset Management Limited,NAM-INDIA,INE298J01013,Financial Services,Asset Management Company
Bajaj Housing Finance Limited,BAJAJHFL,INE377Y01014,Financial Services,Housing Finance Company
Yes Bank Limited,YESBANK,INE528G01035,Financial Services,Private Sector Bank
General Insurance Corporation of India,GICRE,INE481Y01014,Financial Services,General Insurance
L&T Finance Limited,LTF,INE498L01015,Financial Services,Investment Company
Glenmark Pharmaceuticals Limited,GLENMARK,INE935A01035,Healthcare,Pharmaceuticals
Dixon Technologies (India) Limited,DIXON,INE935N01020,Consumer Discretionary,Consumer Electronics
Alkem Laboratories Limited,ALKEM,INE540L01014,Healthcare,Pharmaceuticals
Indian Overseas Bank,BANG,INE863I01016,Financial Services,Public Sector Bank
Schaeffler India Limited,SCHAEFFLER,INE513A01022,Consumer Discretionary,Auto Components & Equipments
The Phoenix Mills Limited,PHOENIXLTD,INE211B01039,Consumer Discretionary,Residential Commercial Projects
Bank of India,BANKINDIA,INE084A01016,Financial Services,Public Sector Bank
Linde India Limited,LINDEINDIA,INE473A01011,Commodities,Industrial Gases
UNO Minda Limited,UNOMINDA,INE405E01023,Consumer Discretionary,Auto Components & Equipments
Oberoi Realty Limited,OBEROIRLTY,INE093I01010,Consumer Discretionary,Residential Commercial Projects
Info Edge (India) Limited,NAUKRI,INE663F01032,Consumer Discretionary,Internet & Catalogue Retail
Prestige Estates Projects Limited,PRESTIGE,INE811K01011,Consumer Discretionary,Residential Commercial Projects
SBI Cards and Payment Services Limited,SBICARD,INE018E01016,Financial Services,Non Banking Financial Company (NBFC)
Colgate Palmolive (India) Limited,COLPAL,INE259A01022,Fast Moving Consumer Goods,Personal Care
Tube Investments of India Limited,TIINDIA,INE974X01010,Consumer Discretionary,Auto Components & Equipments
IDFC First Bank Limited,IDFCFIRSTB,INE092T01019,Financial Services,Private Sector Bank
Abbott India Limited,ABBOTINDIA,INE358A01014,Healthcare,Pharmaceuticals
Berger Paints (I) Limited,BERGEPAINT,INE463A01038,Consumer Discretionary,Paints
Vishal Mega Mart Limited,VMM,INE01EA01019,Consumer Discretionary,Diversified Retail
Fertilizers and Chemicals Travancore Limited,FACT,INE188A01015,Commodities,Fertilizers
Rail Vikas Nigam Limited,RVNL,INE415G01027,Industrials,Civil Construction
Max Financial Services Limited,MFSL,INE180A01020,Financial Services,Life Insurance
JSW Infrastructure Limited,JSWINFRA,INE880J01026,Services,Port & Port services
Thermax Limited,THERMAX,INE152A01029,Industrials,Heavy Electrical Equipment
Hindustan Copper Limited,HINDCOPPER,INE531E01026,Commodities,Copper
MRF Limited,MRF,INE883A01011,Consumer Discretionary,Tyres & Rubber Products
UPL Limited,UPL,INE628A01036,Commodities,Pesticides & Agrochemicals
Tata Communications Limited,TATACOMM,INE151A01013,Telecommunication,Telecom - Cellular & Fixed line services
Godrej Properties Limited,GODREJPROP,INE484J01027,Consumer Discretionary,Residential Commercial Projects
APL Apollo Tubes Limited,APLAPOLLO,INE702C01027,Industrials,Iron & Steel Products
Apar Industries Limited,APARINDS,INE372A01015,Industrials,Other Electrical Equipment
Patanjali Foods Limited,PATANJALI,INE619A01035,Fast Moving Consumer Goods,Edible Oil
Sundaram Finance Limited,SUNDARMFIN,INE660A01013,Financial Services,Non Banking Financial Company (NBFC)
KEI Industries Limited,KEI,INE878B01027,Industrials,Cables - Electricals
NLC India Limited,NLCINDIA,INE589A01014,Utilities,Power Generation
Bharat Dynamics Limited,BDL,INE171Z01026,Industrials,Aerospace & Defense
Radico Khaitan Limited,RADICO,INE944F01028,Fast Moving Consumer Goods,Breweries & Distilleries
Coforge Limited,COFORGE,INE591G01025,Information Technology,Computers - Software & Consulting
360 ONE WAM LIMITED,360ONE,INE466L01038,Financial Services,Stockbroking & Allied
Premier Energies Limited,PREMIERENE,INE0BS701011,Industrials,Other Electrical Equipment
Authum Investment & Infrastructure Limited,AIIL,INE206F01022,Financial Services,Non Banking Financial Company (NBFC)
Anthem Biosciences Limited,ANTHEM,INE0CZ201020,Healthcare,Biotechnology
Supreme Industries Limited,SUPREMEIND,INE195A01028,Industrials,Plastic Products - Industrial
Piramal Finance Limited,PIRAMALFIN,INE202B01038,Financial Services,Non Banking Financial Company (NBFC)
Balkrishna Industries Limited,BALKRISIND,INE787D01026,Consumer Discretionary,Tyres & Rubber Products
MphasiS Limited,MPHASIS,INE356A01018,Information Technology,Computers - Software & Consulting
Mahindra & Mahindra Financial Services Limited,M&MFIN,INE774D01024,Financial Services,Non Banking Financial Company (NBFC)
Indian Railway Catering And Tourism Corporation Limited,IRCTC,INE335Y01020,Consumer Discretionary,Tour Travel Related Services
Page Industries Limited,PAGEIND,INE761H01022,Consumer Discretionary,Garments & Apparels
JK Cement Limited,JKLAKSHMI,INE786A01032,Commodities,Cement & Cement Products
Voltas Limited,VOLTAS,INE226A01021,Consumer Discretionary,Household Appliances
PI Industries Limited,PIIND,INE603J01030,Commodities,Pesticides & Agrochemicals
IPCA Laboratories Limited,IPCALAB,INE571A01038,Healthcare,Pharmaceuticals
Housing & Urban Development Corporation Limited,HUDCO,INE031A01017,Financial Services,Financial Institution
Cochin Shipyard Limited,COCHINSHIP,INE704P01025,Industrials,Ship Building & Allied Services
Petronet LNG Limited,PETRONET,INE347G01014,Energy,LPG/CNG/PNG/LNG Supplier
Astral Limited,ASTRAL,INE006I01046,Industrials,Plastic Products - Industrial
Ajanta Pharma Limited,AJANTPHARM,INE031B01049,Healthcare,Pharmaceuticals
Aster DM Healthcare Limited,ASTERDM,INE914M01019,Healthcare,Hospital
Narayana Hrudayalaya Ltd.,NH,INE410P01011,Healthcare,Hospital
Container Corporation of India Limited,CONCOR,INE111A01025,Services,Logistics Solution Provider
Godrej Industries Limited,GODREJIND,INE233A01035,Diversified,Diversified
L&T Technology Services Limited,LTTS,INE010V01017,Information Technology,IT Enabled Services
AIA Engineering Limited,AIAENG,INE212H01026,Industrials,Castings & Forgings
Gland Pharma Limited,GLAND,INE068V01023,Healthcare,Pharmaceuticals
Navin Fluorine International Limited,NAVINFLUOR,INE048G01026,Commodities,Specialty Chemicals
Endurance Technologies Limited,ENDURANCE,INE913H01037,Consumer Discretionary,Auto Components & Equipments
Kalyan Jewellers India Limited,KALYANKJIL,INE303R01014,Consumer Discretionary,Gems Jewellery And Watches
Indian Renewable Energy Development Agency Limited,IREDA,INE202E01016,Financial Services,Financial Institution
Godfrey Phillips India Limited,GODFRYPHLP,INE260B01028,Fast Moving Consumer Goods,Cigarettes & Tobacco Products
Welspun Corp Limited,WELCORP,INE191B01025,Industrials,Iron & Steel Products
United Breweries Limited,UBL,INE686F01025,Fast Moving Consumer Goods,Breweries & Distilleries
3M India Limited,3MINDIA,INE470A01017,Diversified,Diversified
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,INE572A01036,Healthcare,Pharmaceuticals
Ather Energy Limited,ATHERENERG,INE0LEZ01016,Consumer Discretionary,2/3 Wheelers
Blue Star Limited,BLUESTARCO,INE472A01039,Consumer Discretionary,Household Appliances
Delhivery Limited,DELHIVERY,INE148O01028,Services,Logistics Solution Provider
Tata Investment Corporation Limited,TATAINVEST,INE672A01026,Financial Services,Investment Company
Global Health Limited,MEDANTA,INE474Q01031,Healthcare,Hospital
K.P.R. Mill Limited,KPRMILL,INE930H01031,Consumer Discretionary,Other Textile Products
Emcure Pharmaceuticals Limited,EMCURE,INE168P01015,Healthcare,Pharmaceuticals
ITC Hotels Limited,ITCHOTELS,INE379A01028,Consumer Discretionary,Hotels & Resorts
Escorts Kubota Limited,ESCORTS,INE042A01014,Industrials,Tractors
Dalmia Bharat Limited,DALMIASUG,INE495A01022,Commodities,Cement & Cement Products
Physicswallah Limited,PWL,INE0LP301011,Consumer Discretionary,E-Learning
Schneider Electric Infrastructure Limited,SCHNEIDER,INE839M01018,Industrials,Heavy Electrical Equipment
Procter & Gamble Hygiene and Health Care Limited,PGHH,INE179A01014,Fast Moving Consumer Goods,Personal Care
Angel One Limited,ANGELONE,INE732I01021,Financial Services,Stockbroking & Allied
Hexaware Technologies Limited,HEXT,INE093A01041,Information Technology,Computers - Software & Consulting
UCO Bank,UCOBANK,INE691A01018,Financial Services,Public Sector Bank
Bandhan Bank Limited,BANDHANBNK,INE545U01014,Financial Services,Private Sector Bank
Garden Reach Shipbuilders & Engineers Limited,GRSE,INE382Z01011,Industrials,Aerospace & Defense
Central Bank of India,CENTRALBK,INE483A01010,Financial Services,Public Sector Bank
CRISIL Limited,CRISIL,INE007A01025,Financial Services,Other Financial Services
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,INE149A01033,Financial Services,Investment Company
Manappuram Finance Limited,MANAPPURAM,INE522D01027,Financial Services,Non Banking Financial Company (NBFC)
LIC Housing Finance Limited,LICHSGFIN,INE115A01026,Financial Services,Housing Finance Company
Metro Brands Limited,METROBRAND,INE317I01021,Consumer Discretionary,Footwear
Anand Rathi Wealth Limited,ANANDRATHI,INE463V01026,Financial Services,Financial Products Distributor
Aditya Birla Sun Life AMC Limited,ABSLAMC,INE404A01024,Financial Services,Asset Management Company
Exide Industries Limited,EXIDEIND,INE302A01020,Consumer Discretionary,Auto Components & Equipments
SJVN Limited,SJVN,INE002L01015,Utilities,Power Generation
Aditya Infotech Limited,CPPLUS,INE819V01029,Industrials,Industrial Products
Go Digit General Insurance Limited,GODIGIT,INE03JT01014,Financial Services,General Insurance
Timken India Limited,TIMKEN,INE325A01013,Industrials,Abrasives & Bearings
IRB Infrastructure Developers Limited,IRB,INE821I01022,Industrials,Civil Construction
Karur Vysya Bank Limited,KARURVYSYA,INE036D01028,Financial Services,Private Sector Bank
PNB Housing Finance Limited,PNBHOUSING,INE572E01012,Financial Services,Housing Finance Company
ITI Limited,ITI,INE248A01017,Telecommunication,Telecom - Equipment & Accessories
The New India Assurance Company Limited,NIACL,INE470Y01017,Financial Services,General Insurance
Nuvama Wealth Management Limited,NUVAMA,INE531F01023,Financial Services,Stockbroking & Allied
ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA,INE342J01019,Consumer Discretionary,Auto Components & Equipments
Tata Technologies Limited,TATATECH,INE142M01025,Information Technology,IT Enabled Services
TVS Holdings Limited,TVSHLTD,INE105A01035,Financial Services,Investment Company
Motherson Sumi Wiring India Limited,MSUMI,INE0FS801015,Consumer Discretionary,Auto Components & Equipments
Mangalore Refinery and Petrochemicals Limited,MRPL,INE103A01014,Energy,Refineries & Marketing
Tata Elxsi Limited,TATAELXSI,INE670A01012,Information Technology,Computers - Software & Consulting
Wockhardt Limited,WOCKPHARMA,INE049B01025,Healthcare,Pharmaceuticals
Shyam Metalics and Energy Limited,SHYAMMETL,INE810G01011,Industrials,Iron & Steel Products
Gujarat Gas Limited,GUJGASLTD,INE844O01030,Energy,LPG/CNG/PNG/LNG Supplier
AWL Agri Business Limited,AWL,INE699H01024,Fast Moving Consumer Goods,Edible Oil
ACC Limited,ACC,INE012A01025,Commodities,Cement & Cement Products
Aegis Logistics Limited,AEGISLOG,INE208C01025,Energy,Trading - Gas
NBCC (India) Limited,NBCC,INE095N01031,Industrials,Civil Construction
FORCE MOTORS LTD,FORCEMOT,INE451A01017,Consumer Discretionary,Passenger Cars & Utility Vehicles
Central Depository Services (India) Limited,CDSL,INE736A01011,Financial Services,Depositories Clearing Houses and Other Intermediaries
Gillette India Limited,GILLETTE,INE322A01010,Fast Moving Consumer Goods,Personal Care
Deepak Nitrite Limited,DEEPAKNTR,INE288B01029,Commodities,Specialty Chemicals
Acutaas Chemicals Limited,ACUTAAS,INE00FF01025,Healthcare,Pharmaceuticals
The Great Eastern Shipping Company Limited,GESHIP,INE017A01032,Services,Shipping
Kirloskar Oil Engines Limited,KIRLOSENG,INE146L01010,Industrials,Compressors Pumps & Diesel Engines
Tenneco Clean Air India Limited,TENNIND,INE19RI01016,Consumer Discretionary,Auto Components & Equipments
PTC Industries Limited,PTCIL,INE596F01018,Industrials,Other Industrial Products
CESC Limited,CESC,INE486A01021,Utilities,Integrated Power Utilities
Mtar Technologies Limited,MTARTECH,INE864I01014,Industrials,Other Electrical Equipment
Sai Life Sciences Limited,SAILIFE,INE570L01029,Healthcare,Pharmaceuticals
Apollo Tyres Limited,APOLLOTYRE,INE438A01022,Consumer Discretionary,Tyres & Rubber Products
Sumitomo Chemical India Limited,SUMICHEM,INE258G01013,Commodities,Pesticides & Agrochemicals
KIOCL Limited,KIOCL,INE880L01014,Commodities,Sponge Iron
Piramal Pharma Limited,PPLPHARMA,INE0DK501011,Healthcare,Pharmaceuticals
R R Kabel Limited,RRKABEL,INE777K01022,Industrials,Cables - Electricals
HFCL Limited,HFCL,INE548A01028,Telecommunication,Telecom - Infrastructure
Triveni Turbine Limited,TRITURBINE,INE152M01016,Industrials,Heavy Electrical Equipment
Data Patterns (India) Limited,DATAPATTNS,INE0IX101010,Industrials,Aerospace & Defense
HBL Engineering Limited,HBLENGINE,INE292B01021,Industrials,Other Industrial Products
Indraprastha Gas Limited,IGL,INE203G01027,Energy,LPG/CNG/PNG/LNG Supplier
Asahi India Glass Limited,ASAHIINDIA,INE439A01020,Consumer Discretionary,Auto Components & Equipments
AstraZeneca Pharma India Limited,ASTRAZEN,INE203A01020,Healthcare,Pharmaceuticals
Onesource Specialty Pharma Limited,ONESOURCE,INE013P01021,Healthcare,Pharmaceuticals
Pfizer Limited,PFIZER,INE182A01018,Healthcare,Pharmaceuticals
Neuland Laboratories Limited,NEULANDLAB,INE794A01010,Healthcare,Pharmaceuticals
Grindwell Norton Limited,GRINDWELL,INE536A01023,Industrials,Abrasives & Bearings
The Ramco Cements Limited,INDIACEM,INE383A01012,Commodities,Cement & Cement Products
Gujarat Mineral Development Corporation Limited,GMDCLTD,INE131A01031,Commodities,Industrial Minerals
Atul Limited,ATUL,INE100A01010,Commodities,Specialty Chemicals
Kaynes Technology India Limited,KAYNES,INE918Z01012,Industrials,Industrial Products
Hatsun Agro Product Limited,HATSUN,INE473B01035,Fast Moving Consumer Goods,Dairy Products
Aadhar Housing Finance Limited,AADHARHFC,INE883F01010,Financial Services,Housing Finance Company
Natco Pharma Limited,NATCOPHARM,INE987B01026,Healthcare,Pharmaceuticals
KPIT Technologies Limited,KPITTECH,INE04I401011,Information Technology,Computers - Software & Consulting
RBL Bank Limited,RBLBANK,INE976G01028,Financial Services,Private Sector Bank
Sun TV Network Limited,SUNTV,INE424H01027,Consumer Discretionary,TV Broadcasting & Software Production
EIH Limited,EIHOTEL,INE230A01023,Consumer Discretionary,Hotels & Resorts
Godawari Power And Ispat limited,GPIL,INE177H01039,Industrials,Iron & Steel Products
Affle 3i Limited,AFFLE,INE00WC01027,Information Technology,IT Enabled Services
Sarda Energy & Minerals Limited,SARDAEN,INE385C01021,Commodities,Iron & Steel
TD Power Systems Limited,TDPOWERSYS,INE419M01027,Industrials,Heavy Electrical Equipment
IIFL Finance Limited,IIFL,INE530B01024,Financial Services,Non Banking Financial Company (NBFC)
Syrma SGS Technology Limited,SYRMA,INE0DYJ01015,Industrials,Industrial Products
